/Users/radenyudi/.gemini/antigravity/scratch/quant_trade_ai/ai_environment.py:32: FutureWarning: DataFrame.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  self.df.fillna(method='bfill', inplace=True)
🚀 Starting AI Training (Reinforcement Learning)...
Episode: 1/200 | Reward: -207.91 | Net Worth: 98.50 | Epsilon: 0.97
Episode: 2/200 | Reward: -204.06 | Net Worth: 98.91 | Epsilon: 0.92
Episode: 3/200 | Reward: 204.44 | Net Worth: 100.66 | Epsilon: 0.88
Episode: 4/200 | Reward: -1.40 | Net Worth: 99.51 | Epsilon: 0.85
Episode: 5/200 | Reward: -89.77 | Net Worth: 99.52 | Epsilon: 0.81
Episode: 6/200 | Reward: 70.87 | Net Worth: 100.39 | Epsilon: 0.77
Episode: 7/200 | Reward: -123.49 | Net Worth: 99.12 | Epsilon: 0.74
Episode: 8/200 | Reward: 109.94 | Net Worth: 100.50 | Epsilon: 0.71
Episode: 9/200 | Reward: 26.37 | Net Worth: 100.21 | Epsilon: 0.67
Episode: 10/200 | Reward: -112.60 | Net Worth: 99.55 | Epsilon: 0.64
Episode: 11/200 | Reward: -224.47 | Net Worth: 98.88 | Epsilon: 0.62
Episode: 12/200 | Reward: 56.64 | Net Worth: 100.09 | Epsilon: 0.59
Episode: 13/200 | Reward: 51.71 | Net Worth: 100.11 | Epsilon: 0.56
Episode: 14/200 | Reward: -212.62 | Net Worth: 98.77 | Epsilon: 0.54
Episode: 15/200 | Reward: -135.08 | Net Worth: 99.25 | Epsilon: 0.51
Episode: 16/200 | Reward: 35.85 | Net Worth: 100.14 | Epsilon: 0.49
Episode: 17/200 | Reward: 82.23 | Net Worth: 100.25 | Epsilon: 0.47
Episode: 18/200 | Reward: -70.61 | Net Worth: 99.07 | Epsilon: 0.45
Episode: 19/200 | Reward: -68.01 | Net Worth: 99.25 | Epsilon: 0.43
Episode: 20/200 | Reward: -96.54 | Net Worth: 99.60 | Epsilon: 0.41
Episode: 21/200 | Reward: 39.98 | Net Worth: 99.77 | Epsilon: 0.39
Episode: 22/200 | Reward: 7.83 | Net Worth: 99.70 | Epsilon: 0.38
Episode: 23/200 | Reward: -42.96 | Net Worth: 99.54 | Epsilon: 0.36
