🚀 Starting AI Training (Reinforcement Learning)...
Episode: 1/100 | Reward: -52.52 | Net Worth: 101.54 | Epsilon: 0.10
Episode: 2/100 | Reward: -21.68 | Net Worth: 100.81 | Epsilon: 0.01
Episode: 3/100 | Reward: -128.88 | Net Worth: 99.79 | Epsilon: 0.01
Episode: 4/100 | Reward: -238.76 | Net Worth: 99.49 | Epsilon: 0.01
Episode: 5/100 | Reward: -167.76 | Net Worth: 101.31 | Epsilon: 0.01
Episode: 6/100 | Reward: 129.02 | Net Worth: 100.18 | Epsilon: 0.01
Episode: 7/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 8/100 | Reward: -28.31 | Net Worth: 100.01 | Epsilon: 0.01
Episode: 9/100 | Reward: 50.50 | Net Worth: 100.59 | Epsilon: 0.01
Episode: 10/100 | Reward: 0.54 | Net Worth: 101.30 | Epsilon: 0.01
Episode: 11/100 | Reward: -85.28 | Net Worth: 100.90 | Epsilon: 0.01
Episode: 12/100 | Reward: 412.05 | Net Worth: 102.00 | Epsilon: 0.01
Episode: 13/100 | Reward: -24.51 | Net Worth: 99.88 | Epsilon: 0.01
Episode: 14/100 | Reward: -24.02 | Net Worth: 100.56 | Epsilon: 0.01
Episode: 15/100 | Reward: -167.28 | Net Worth: 100.32 | Epsilon: 0.01
Episode: 16/100 | Reward: -448.82 | Net Worth: 98.90 | Epsilon: 0.01
Episode: 17/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 18/100 | Reward: -89.78 | Net Worth: 99.59 | Epsilon: 0.01
Episode: 19/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 20/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 21/100 | Reward: 137.33 | Net Worth: 101.28 | Epsilon: 0.01
Episode: 22/100 | Reward: 9.56 | Net Worth: 100.21 | Epsilon: 0.01
Episode: 23/100 | Reward: 420.77 | Net Worth: 102.16 | Epsilon: 0.01
Episode: 24/100 | Reward: 263.77 | Net Worth: 100.23 | Epsilon: 0.01
Episode: 25/100 | Reward: 299.70 | Net Worth: 100.80 | Epsilon: 0.01
Episode: 26/100 | Reward: 145.93 | Net Worth: 100.99 | Epsilon: 0.01
Episode: 27/100 | Reward: -420.01 | Net Worth: 99.46 | Epsilon: 0.01
Episode: 28/100 | Reward: -68.97 | Net Worth: 99.87 | Epsilon: 0.01
Episode: 29/100 | Reward: -157.82 | Net Worth: 99.66 | Epsilon: 0.01
Episode: 30/100 | Reward: -271.96 | Net Worth: 98.82 | Epsilon: 0.01
Episode: 31/100 | Reward: -107.18 | Net Worth: 99.52 | Epsilon: 0.01
Episode: 32/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 33/100 | Reward: -62.91 | Net Worth: 99.72 | Epsilon: 0.01
Episode: 34/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 35/100 | Reward: -120.45 | Net Worth: 101.19 | Epsilon: 0.01
Episode: 36/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 37/100 | Reward: -286.94 | Net Worth: 98.94 | Epsilon: 0.01
Episode: 38/100 | Reward: -99.81 | Net Worth: 101.27 | Epsilon: 0.01
Episode: 39/100 | Reward: 6.10 | Net Worth: 100.03 | Epsilon: 0.01
Episode: 40/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 41/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 42/100 | Reward: -22.50 | Net Worth: 100.21 | Epsilon: 0.01
Episode: 43/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 44/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 45/100 | Reward: 0.44 | Net Worth: 100.09 | Epsilon: 0.01
Episode: 46/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 47/100 | Reward: -5.62 | Net Worth: 99.98 | Epsilon: 0.01
Episode: 48/100 | Reward: -157.44 | Net Worth: 99.99 | Epsilon: 0.01
Episode: 49/100 | Reward: -142.06 | Net Worth: 99.41 | Epsilon: 0.01
Episode: 50/100 | Reward: -75.25 | Net Worth: 99.89 | Epsilon: 0.01
Episode: 51/100 | Reward: 27.94 | Net Worth: 101.40 | Epsilon: 0.01
Episode: 52/100 | Reward: -184.09 | Net Worth: 101.03 | Epsilon: 0.01
Episode: 53/100 | Reward: -33.49 | Net Worth: 99.95 | Epsilon: 0.01
Episode: 54/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 55/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 56/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 57/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 58/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 59/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 60/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 61/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 62/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
